"201703010000","6559                    ",5
"201703010001","6559                    ",5
"201703010002","6559                    ",5
"201703010003","6559                    ",18
"201703010004","6559                    ",21
"201703010005","6559                    ",21
"201703010006","6559                    ",4
"201703010007","6559                    ",4
"201703010008","6559                    ",6
"201703010009","6559                    ",15
"201703010010","6559                    ",32
"201703010011","6559                    ",21
"201703010012","6559                    ",6
"201703010013","6559                    ",9
"201703010014","6559                    ",12
"201703010015","6559                    ",8
"201703010016","6559                    ",23
"201703010017","6559                    ",9
"201703010018","6559                    ",8
"201703010019","6559                    ",8
"201703010020","6559                    ",15
"201703010022","6559                    ",10
"201703010023","6559                    ",7
"201703010024","6559                    ",16
"201703010025","6559                    ",18
"201703010026","6559                    ",29
"201703010027","6559                    ",7
"201703010028","6559                    ",54
"201703010029","6559                    ",20
"201703010030","6559                    ",12
"201703010031","6559                    ",9
"201703010032","6559                    ",11
"201703010033","6559                    ",19
"201703010034","6559                    ",20
"201703010035","6559                    ",10
"201703010036","6559                    ",67
"201703010037","6559                    ",49
"201703010038","6559                    ",21
"201703010039","6559                    ",2
"201703010040","6559                    ",21
"201703010041","6559                    ",9
"201703010042","6559                    ",4
"201703010043","6559                    ",7
"201703010044","6559                    ",24
"201703010045","6559                    ",6
"201703010046","6559                    ",13
"201703010047","6559                    ",28
"201703010048","6559                    ",14
"201703010049","6559                    ",31
"201703010050","6559                    ",27
"201703010051","6559                    ",14
"201703010052","6559                    ",29
"201703010053","6559                    ",18
"201703010054","6559                    ",13
"201703010055","6559                    ",25
"201703010056","6559                    ",20
"201703010057","6559                    ",32
"201703010058","6559                    ",22
"201703010059","6559                    ",37
"201703010100","6559                    ",46
"201703010101","6559                    ",29
"201703010102","6559                    ",16
"201703010103","6559                    ",77
"201703010104","6559                    ",34
"201703010105","6559                    ",27
"201703010106","6559                    ",16
"201703010107","6559                    ",34
"201703010108","6559                    ",26
"201703010109","6559                    ",20
"201703010110","6559                    ",45
"201703010111","6559                    ",25
"201703010112","6559                    ",22
"201703010113","6559                    ",19
"201703010114","6559                    ",9
"201703010115","6559                    ",21
"201703010116","6559                    ",25
"201703010117","6559                    ",37
"201703010118","6559                    ",49
"201703010119","6559                    ",15
"201703010120","6559                    ",65
"201703010121","6559                    ",25
"201703010122","6559                    ",19
"201703010123","6559                    ",22
"201703010124","6559                    ",6
"201703010125","6559                    ",29
"201703010126","6559                    ",26
"201703010127","6559                    ",24
"201703010128","6559                    ",33
"201703010129","6559                    ",12
"201703010130","6559                    ",33
"201703010131","6559                    ",44
"201703010132","6559                    ",32
"201703010133","6559                    ",47
"201703010134","6559                    ",20
"201703010135","6559                    ",33
"201703010136","6559                    ",71
"201703010137","6559                    ",34
"201703010138","6559                    ",19
"201703010139","6559                    ",28
"201703010140","6559                    ",16
"201703010141","6559                    ",70
"201703010142","6559                    ",27
"201703010143","6559                    ",68
"201703010144","6559                    ",13
"201703010145","6559                    ",18
"201703010146","6559                    ",36
"201703010147","6559                    ",48
"201703010148","6559                    ",69
"201703010149","6559                    ",34
"201703010150","6559                    ",26
"201703010151","6559                    ",19
"201703010152","6559                    ",32
"201703010153","6559                    ",15
"201703010154","6559                    ",33
"201703010155","6559                    ",51
"201703010156","6559                    ",29
"201703010157","6559                    ",25
"201703010158","6559                    ",19
"201703010159","6559                    ",14
"201703010200","6559                    ",92
"201703010201","6559                    ",21
"201703010202","6559                    ",26
"201703010203","6559                    ",81
"201703010204","6559                    ",41
"201703010205","6559                    ",35
"201703010206","6559                    ",47
"201703010207","6559                    ",34
"201703010208","6559                    ",20
"201703010209","6559                    ",40
"201703010210","6559                    ",33
"201703010211","6559                    ",101
"201703010212","6559                    ",15
"201703010213","6559                    ",66
"201703010214","6559                    ",16
"201703010215","6559                    ",31
"201703010216","6559                    ",65
"201703010217","6559                    ",39
"201703010218","6559                    ",15
"201703010219","6559                    ",37
"201703010220","6559                    ",16
"201703010221","6559                    ",16
"201703010222","6559                    ",48
"201703010223","6559                    ",54
"201703010224","6559                    ",35
"201703010225","6559                    ",50
"201703010226","6559                    ",52
"201703010227","6559                    ",37
"201703010228","6559                    ",18
"201703010229","6559                    ",36
"201703010230","6559                    ",14
"201703010231","6559                    ",16
"201703010232","6559                    ",13
"201703010233","6559                    ",19
"201703010234","6559                    ",17
"201703010235","6559                    ",18
"201703010236","6559                    ",11
"201703010237","6559                    ",32
"201703010238","6559                    ",29
"201703010239","6559                    ",25
"201703010240","6559                    ",8
"201703010241","6559                    ",18
"201703010242","6559                    ",13
"201703010243","6559                    ",18
"201703010244","6559                    ",13
"201703010245","6559                    ",27
"201703010246","6559                    ",5
"201703010247","6559                    ",6
"201703010248","6559                    ",34
"201703010249","6559                    ",22
"201703010250","6559                    ",25
"201703010251","6559                    ",36
